N,α,nD,n_max,fraction_of_successful_runs
100,2.9950000000000023,5000,100,0.0
100,3.000000000000002,5000,100,0.0
100,3.005000000000002,5000,100,0.0
100,3.0100000000000025,5000,100,0.0
100,3.0150000000000023,5000,100,0.0
100,3.0200000000000022,5000,100,0.0
100,3.025000000000002,5000,100,0.0
100,3.030000000000002,5000,100,0.0
100,3.0350000000000024,5000,100,0.0
100,3.0400000000000023,5000,100,0.0
100,3.045000000000002,5000,100,0.0
100,3.0500000000000025,5000,100,0.0
100,3.0550000000000024,5000,100,0.0
100,3.0600000000000023,5000,100,0.0
100,3.065000000000002,5000,100,0.0
100,3.070000000000002,5000,100,0.0
100,3.0750000000000024,5000,100,0.0
100,3.0800000000000023,5000,100,0.0
100,3.085000000000002,5000,100,0.0
100,3.0900000000000025,5000,100,0.0
100,3.0950000000000024,5000,100,0.0
100,3.1000000000000023,5000,100,0.0
100,3.105000000000002,5000,100,0.0
100,3.110000000000002,5000,100,0.0
100,3.1150000000000024,5000,100,0.0
100,3.1200000000000023,5000,100,0.0
100,3.125000000000002,5000,100,0.0
100,3.1300000000000026,5000,100,0.0
100,3.1350000000000025,5000,100,0.0
100,3.1400000000000023,5000,100,0.0
100,3.1450000000000022,5000,100,0.0
100,3.150000000000002,5000,100,0.0
100,3.1550000000000025,5000,100,0.0
100,3.1600000000000024,5000,100,0.0
100,3.1650000000000023,5000,100,0.0
100,3.1700000000000026,5000,100,0.0
100,3.1750000000000025,5000,100,0.0
100,3.1800000000000024,5000,100,0.0
100,3.1850000000000023,5000,100,0.0
100,3.190000000000002,5000,100,0.0
100,3.1950000000000025,5000,100,0.0
100,3.2000000000000024,5000,100,0.0
100,3.2050000000000023,5000,100,0.0
100,3.2100000000000026,5000,100,0.0
100,3.2150000000000025,5000,100,0.0
100,3.2200000000000024,5000,100,0.0
100,3.2250000000000023,5000,100,0.0
100,3.230000000000002,5000,100,0.0
100,3.2350000000000025,5000,100,0.0
100,3.2400000000000024,5000,100,0.0
100,3.2450000000000023,5000,100,0.0
100,3.2500000000000027,5000,100,0.0
100,3.2550000000000026,5000,100,0.0
100,3.2600000000000025,5000,100,0.0
100,3.2650000000000023,5000,100,0.0
100,3.2700000000000022,5000,100,0.0
100,3.2750000000000026,5000,100,0.0
100,3.2800000000000025,5000,100,0.0
100,3.2850000000000024,5000,100,0.0
100,3.2900000000000027,5000,100,0.0
100,3.2950000000000026,5000,100,0.0
100,3.3000000000000025,5000,100,0.0
100,3.3050000000000024,5000,100,0.0
100,3.3100000000000023,5000,100,0.0
100,3.3150000000000026,5000,100,0.0
100,3.3200000000000025,5000,100,0.0
100,3.3250000000000024,5000,100,0.0
100,3.3300000000000027,5000,100,0.0
100,3.3350000000000026,5000,100,0.0
100,3.3400000000000025,5000,100,0.0
100,3.3450000000000024,5000,100,0.0
100,3.3500000000000023,5000,100,0.0
100,3.3550000000000026,5000,100,0.0
100,3.3600000000000025,5000,100,0.0
100,3.3650000000000024,5000,100,0.0
100,3.3700000000000028,5000,100,0.0
100,3.3750000000000027,5000,100,0.0
100,3.3800000000000026,5000,100,0.0
100,3.3850000000000025,5000,100,0.0
100,3.3900000000000023,5000,100,0.0
100,3.3950000000000027,5000,100,0.0
100,3.4000000000000026,5000,100,0.0
100,3.4050000000000025,5000,100,0.0
100,3.410000000000003,5000,100,0.0
100,3.4150000000000027,5000,100,0.0
100,3.4200000000000026,5000,100,0.0
100,3.4250000000000025,5000,100,0.0
100,3.4300000000000024,5000,100,0.0
100,3.4350000000000027,5000,100,0.0
100,3.4400000000000026,5000,100,0.0
100,3.4450000000000025,5000,100,0.0
100,3.450000000000003,5000,100,0.0
100,3.4550000000000027,5000,100,0.0
100,3.4600000000000026,5000,100,0.0
100,3.4650000000000025,5000,100,0.0
100,3.4700000000000024,5000,100,0.0
100,3.4750000000000028,5000,100,0.0
100,3.4800000000000026,5000,100,0.0
100,3.4850000000000025,5000,100,0.0
100,3.490000000000003,5000,100,0.0
100,3.4950000000000028,5000,100,0.0
100,3.5000000000000027,5000,100,0.0
100,3.5050000000000026,5000,100,0.0
100,3.5100000000000025,5000,100,0.0
100,3.515000000000003,5000,100,0.0
100,3.5200000000000027,5000,100,0.0
100,3.5250000000000026,5000,100,0.0
100,3.530000000000003,5000,100,0.0
100,3.535000000000003,5000,100,0.0
100,3.5400000000000027,5000,100,0.0
100,3.5450000000000026,5000,100,0.0
100,3.5500000000000025,5000,100,0.0
100,3.555000000000003,5000,100,0.0
100,3.5600000000000027,5000,100,0.0
100,3.5650000000000026,5000,100,0.0
100,3.570000000000003,5000,100,0.0
100,3.575000000000003,5000,100,0.0
100,3.5800000000000027,5000,100,0.0
100,3.5850000000000026,5000,100,0.0
100,3.5900000000000025,5000,100,0.0
100,3.595000000000003,5000,100,0.0
100,3.6000000000000028,5000,100,0.0
100,3.6050000000000026,5000,100,0.0
100,3.610000000000003,5000,100,0.0
100,3.615000000000003,5000,100,0.0
100,3.6200000000000028,5000,100,0.0
100,3.6250000000000027,5000,100,0.0
100,3.6300000000000026,5000,100,0.0
100,3.635000000000003,5000,100,0.0
100,3.640000000000003,5000,100,0.0
100,3.6450000000000027,5000,100,0.0
100,3.650000000000003,5000,100,0.0
100,3.655000000000003,5000,100,0.0
100,3.660000000000003,5000,100,0.0
100,3.6650000000000027,5000,100,0.0
100,3.6700000000000026,5000,100,0.0
100,3.675000000000003,5000,100,0.0
100,3.680000000000003,5000,100,0.0
100,3.6850000000000027,5000,100,0.0
100,3.690000000000003,5000,100,0.0
100,3.695000000000003,5000,100,0.0
100,3.700000000000003,5000,100,0.0
100,3.7050000000000027,5000,100,0.0
100,3.7100000000000026,5000,100,0.0
100,3.715000000000003,5000,100,0.0
100,3.720000000000003,5000,100,0.0
100,3.7250000000000028,5000,100,0.0
100,3.730000000000003,5000,100,0.0
100,3.735000000000003,5000,100,0.0
100,3.740000000000003,5000,100,0.0
100,3.7450000000000028,5000,100,0.0
100,3.7500000000000027,5000,100,0.0
100,3.755000000000003,5000,100,0.0
100,3.760000000000003,5000,100,0.0
100,3.765000000000003,5000,100,0.0
100,3.770000000000003,5000,100,0.0
100,3.775000000000003,5000,100,0.0
100,3.780000000000003,5000,100,0.0
100,3.785000000000003,5000,100,0.0
100,3.7900000000000027,5000,100,0.0
100,3.795000000000003,5000,100,0.0
100,3.800000000000003,5000,100,0.0
100,3.805000000000003,5000,100,0.0
100,3.810000000000003,5000,100,0.0
100,3.815000000000003,5000,100,0.0
100,3.820000000000003,5000,100,0.0
100,3.825000000000003,5000,100,0.0
100,3.8300000000000027,5000,100,0.0
100,3.835000000000003,5000,100,0.0
100,3.840000000000003,5000,100,0.0
100,3.845000000000003,5000,100,0.0
100,3.850000000000003,5000,100,0.0
100,3.855000000000003,5000,100,0.0
100,3.860000000000003,5000,100,0.0
100,3.865000000000003,5000,100,0.0
100,3.8700000000000028,5000,100,0.0
100,3.875000000000003,5000,100,0.0
100,3.880000000000003,5000,100,0.0
100,3.885000000000003,5000,100,0.0
100,3.8900000000000032,5000,100,0.0
100,3.895000000000003,5000,100,0.0
100,3.900000000000003,5000,100,0.0
100,3.905000000000003,5000,100,0.0
100,3.910000000000003,5000,100,0.0
100,3.915000000000003,5000,100,0.0
100,3.920000000000003,5000,100,0.0
100,3.925000000000003,5000,100,0.0
100,3.9300000000000033,5000,100,0.0
100,3.935000000000003,5000,100,0.0
100,3.940000000000003,5000,100,0.0
100,3.945000000000003,5000,100,0.0
100,3.950000000000003,5000,100,0.0
100,3.955000000000003,5000,100,0.0
100,3.960000000000003,5000,100,0.0
100,3.965000000000003,5000,100,0.0
100,3.9700000000000033,5000,100,0.0
100,3.975000000000003,5000,100,0.0
100,3.980000000000003,5000,100,0.0
100,3.985000000000003,5000,100,0.0
100,3.990000000000003,5000,100,0.0
100,3.995000000000003,5000,100,0.0
100,4.0000000000000036,5000,100,0.0
